S/N,REG. NO./Code,ENG 121,MTH 122,MTH 123,PHY 121,PHY 122,PHY 127,CHM 121,CHM 124,GSS 121,GSS 124,GSS 125,GSS 126,CARRY OVER COURSES,CURRENT TCL,CURRENT GP,CURRENT GPA,CURRENT SRT,PREVIOUS TCL,PREVIOUS GP,PREVIOUS GPA,CUMULATIVE TCL,CUMULATIVE GP,CUMULATIVE GPA,REMARKS
1,CME/20/109001,B,A,E,C,B,B,A,D,A,A,B,B,,23,88,3.83,P,20,70,3.5,43,158,3.67,PASS
2,CME/20/109033,C,C,E,A,D,A,D,F,F,C,A,B,,23,59,2.57,CO,20,63,3.15,43,122,2.84,"CHM124,GSS121,CHM114"
3,CME/20/109034,B,B,B,A,C,B,C,B,D,A,A,C,,23,85,3.7,P,20,82,4.1,43,167,3.88,PASS
4,CME/20/109039,C,B,C,D,E,C,D,E,D,A,B,B,,23,64,2.78,P,20,49,2.45,43,113,2.63,"GSS115,MTH112"
5,CME/20/109046,B,A,C,C,C,C,D,E,A,E,E,B,,23,74,3.22,P,20,78,3.9,43,152,3.53,PASS
6,CME/20/109061,B,D,C,B,D,C,D,E,D,F,B,B,,23,61,2.65,CO,20,62,3.1,43,123,2.86,GSS124
7,CME/20/109074,C,B,E,B,C,B,C,D,F,B,B,B,,23,66,2.87,CO,20,80,4,43,146,3.4,GSS121
8,CME/20/109087,A,A,D,C,C,A,B,A,A,A,A,A,,23,95,4.13,P,20,96,4.8,43,191,4.44,PASS
9,CME/20/109097,B,A,A,B,B,B,D,E,B,A,B,C,,23,88,3.83,P,20,60,3,43,148,3.44,PASS
10,CME/20/109098,C,B,E,B,B,A,B,B,D,B,B,B,,23,78,3.39,P,20,87,4.35,43,165,3.84,PASS
11,CME/20/109127,B,B,E,B,B,C,B,D,E,C,B,B,,23,73,3.17,P,20,70,3.5,43,143,3.33,PASS
12,CME/20/109139,B,C,B,B,B,B,B,C,B,A,A,A,,23,90,3.91,P,20,73,3.65,43,163,3.79,PASS
13,CME/20/109141,C,C,C,B,E,B,C,E,A,B,A,A,,23,77,3.35,P,20,66,3.3,43,143,3.33,PASS
14,CME/20/109147,A,A,C,C,C,A,A,B,B,A,A,C,,23,94,4.09,P,20,80,4,43,174,4.05,PASS
15,CME/20/109164,C,A,A,C,A,C,B,C,A,C,A,B,,23,96,4.17,P,20,81,4.05,43,177,4.12,PASS
16,CME/20/109175,C,A,C,A,C,A,A,E,B,A,A,E,,23,87,3.78,P,20,67,3.35,43,154,3.58,PASS
17,CME/20/109182,B,D,D,B,B,B,C,B,A,B,B,A,,23,81,3.52,P,20,85,4.25,43,166,3.86,PASS
18,CME/20/109186,B,B,C,B,C,B,B,A,C,A,A,A,,23,90,3.91,P,20,82,4.1,43,172,4,PASS
19,CME/20/109207,B,A,C,C,B,B,D,C,A,A,B,B,,23,86,3.74,P,20,65,3.25,43,151,3.51,PASS
20,CME/20/109209,A,A,E,A,A,A,A,C,A,A,A,A,,23,101,4.39,P,20,97,4.85,43,198,4.6,PASS
21,CME/20/109220,B,C,A,B,D,C,B,C,A,A,A,A,,23,92,4,P,20,79,3.95,43,171,3.98,PASS
22,CME/20/109222,C,A,C,B,C,C,B,B,C,A,B,B,,23,86,3.74,P,20,77,3.85,43,163,3.79,PASS
23,CME/20/109254,A,F,E,C,B,B,C,E,A,D,A,A,,23,68,2.96,CO,20,69,3.45,43,137,3.19,MTH122
24,CME/20/109255,B,A,A,B,C,B,A,D,A,A,A,A,,23,103,4.48,P,20,73,3.65,43,176,4.09,PASS
25,CME/20/109258,D,A,E,D,F,C,A,F,C,A,C,B,,23,66,2.87,CO,20,50,2.5,43,116,2.7,"PHY122,CHM124,MTH112"
26,CME/20/109259,B,C,C,C,F,E,D,C,B,A,A,C,,23,66,2.87,CO,20,70,3.5,43,136,3.16,"PHY122,CHM114,GSS115"
27,CME/20/109263,B,A,B,A,A,B,A,A,A,A,A,B,,23,107,4.65,P,20,83,4.15,43,190,4.42,PASS
28,CME/20/109278,C,A,D,C,F,A,B,B,B,C,B,C,,23,75,3.26,CO,20,57,2.85,43,132,3.07,PHY122
29,CME/20/109279,B,D,D,B,C,A,B,C,A,A,A,A,,23,84,3.65,P,20,86,4.3,43,170,3.95,PASS
30,CME/20/109327,B,F,C,B,C,C,B,E,C,B,C,A,,23,70,3.04,CO,20,71,3.55,43,141,3.28,MTH122
31,CME/20/109340,C,A,E,B,B,B,B,B,B,A,B,A,,23,87,3.78,P,20,58,2.9,43,145,3.37,PASS
32,CME/20/109355,B,B,E,A,E,B,C,E,F,A,A,A,,23,69,3,CO,20,52,2.6,43,121,2.81,"GSS121,PHY112"
33,CME/20/109360,B,B,C,B,C,C,A,F,A,A,A,C,,23,87,3.78,CO,20,57,2.85,43,144,3.35,"CHM124,GSS111,PHY117"
34,CME/20/109362,A,B,B,A,A,B,B,C,A,A,A,B,,23,101,4.39,P,20,88,4.4,43,189,4.4,PASS
35,CME/20/109394,A,A,D,A,C,B,D,C,C,A,C,B,,23,82,3.57,P,20,67,3.35,43,149,3.47,PASS
36,CME/20/109412,B,A,B,A,C,A,B,B,A,A,A,B,,23,100,4.35,P,20,78,3.9,43,178,4.14,PASS
37,CME/20/109413,C,C,E,B,C,C,C,B,F,A,C,B,,23,64,2.78,CO,20,54,2.7,43,118,2.74,"GSS121,CHM114,GSS115"
38,CME/20/109458,C,A,D,B,C,A,D,C,B,C,B,F,,23,70,3.04,CO,20,65,3.25,43,135,3.14,"GSS126,CHM114,ENG111,PHY117"
39,CME/20/109486,C,F,B,C,A,C,B,F,B,A,B,C,,23,72,3.13,CO,20,50,2.5,43,122,2.84,"MTH122,CHM124,MTH112"
40,CME/20/109504,C,A,A,A,B,A,B,B,A,F,C,A,,23,98,4.26,CO,20,89,4.45,43,187,4.35,GSS124
41,CME/20/109527,C,C,E,C,F,B,D,F,B,D,B,C,,23,54,2.35,CO,20,46,2.3,43,100,2.33,"PHY122,CHM124,CHM114,PHY117"
42,CME/20/109533,B,A,B,A,B,B,C,C,B,C,B,B,,23,92,4,P,20,84,4.2,43,176,4.09,PASS
43,CME/20/109543,E,E,D,C,F,E,F,F,C,D,F,C,,23,32,1.39,CO,20,44,2.2,43,76,1.77,"PHY122,CHM121,CHM124,GSS125"
44,CME/20/109547,B,A,D,B,E,C,D,E,C,A,C,B,,23,71,3.09,P,20,59,2.95,43,130,3.02,PASS
45,CME/20/109549,A,B,C,B,C,C,C,C,A,B,B,B,,23,86,3.74,P,20,83,4.15,43,169,3.93,PASS
46,CME/20/109559,B,C,E,C,C,D,A,C,A,A,A,A,,23,82,3.57,P,20,80,4,43,162,3.77,PASS
47,CME/20/109564,C,B,D,C,C,A,D,B,C,C,B,C,,23,70,3.04,P,20,69,3.45,43,139,3.23,PASS
48,CME/20/109571,B,C,B,C,E,D,C,F,D,C,B,C,,23,65,2.83,CO,20,73,3.65,43,138,3.21,CHM124
49,CME/20/109590,D,C,D,B,C,B,C,C,B,A,A,A,,23,77,3.35,P,20,73,3.65,43,150,3.49,PASS
50,CME/20/109596,D,C,E,A,C,B,D,D,C,C,A,B,,23,66,2.87,P,20,66,3.3,43,132,3.07,PASS
51,CME/20/109615,A,C,C,B,C,B,D,E,A,C,A,C,,23,77,3.35,P,20,61,3.05,43,138,3.21,PASS
52,CME/20/109633,C,B,C,E,E,C,E,E,A,C,B,B,,23,63,2.74,P,20,65,3.25,43,128,2.98,PASS
53,CME/20/109638,B,A,D,A,E,B,B,B,A,B,A,A,,23,90,3.91,P,20,76,3.8,43,166,3.86,PASS
54,CME/20/109673,B,F,B,C,C,C,C,F,A,F,B,A,,23,68,2.96,CO,20,61,3.05,43,129,3,"MTH122,CHM124,GSS124,CHM114,MTH112"
55,CME/20/109689,B,A,B,B,C,B,A,B,C,A,C,B,,23,94,4.09,P,20,95,4.75,43,189,4.4,PASS
56,CME/20/109709,C,C,C,C,C,D,C,C,B,F,A,C,,23,69,3,CO,20,65,3.25,43,134,3.12,"GSS124,PHY112"
57,CME/20/109713,E,F,B,C,C,B,C,E,B,A,A,C,,23,64,2.78,CO,20,79,3.95,43,143,3.33,MTH122
58,CME/20/109720,C,C,E,C,D,D,E,F,B,B,F,B,,23,53,2.3,CO,20,48,2.4,43,101,2.35,"CHM124,GSS125,CHM113"
59,CME/20/109732,C,E,E,D,F,C,B,F,F,D,A,E,,23,40,1.74,CO,20,76,3.8,43,116,2.7,"PHY122,CHM124,GSS121"
60,CME/20/109733,D,A,E,E,A,B,D,D,A,C,A,B,,23,72,3.13,P,20,57,2.85,43,129,3,PASS
61,CME/20/109742,C,A,E,B,C,D,A,C,B,A,A,C,,23,82,3.57,P,20,79,3.95,43,161,3.74,CHM114
62,CME/20/109752,C,E,F,C,E,C,A,E,D,A,A,A,,23,60,2.61,CO,20,59,2.95,43,119,2.77,"MTH123,CHM114,GSS115,PHY117"
63,CME/20/109808,D,A,B,B,F,D,C,C,D,A,C,C,,23,71,3.09,CO,20,43,2.15,43,114,2.65,"PHY122,CHM113,GSS115,PHY112"
64,CME/20/109809,C,A,C,C,C,B,C,C,B,B,B,B,,23,82,3.57,P,20,60,3,43,142,3.3,PASS
65,CME/20/109817,B,C,D,B,C,A,B,C,A,B,A,A,,23,86,3.74,P,20,66,3.3,43,152,3.53,PHY117
66,CME/20/109829,C,A,B,A,B,A,A,B,A,A,A,B,,23,103,4.48,P,20,86,4.3,43,189,4.4,PASS
67,CME/20/109848,D,A,C,C,D,C,A,F,C,A,B,A,,23,81,3.52,CO,20,56,2.8,43,137,3.19,"CHM124,CHM114,GSS115,PHY112"
68,CME/20/109859,C,B,E,A,B,A,B,B,A,A,B,B,,23,87,3.78,P,20,79,3.95,43,166,3.86,PASS
69,CME/20/109862,C,A,C,A,B,A,C,D,B,C,B,C,,23,85,3.7,P,20,66,3.3,43,151,3.51,CHM114
70,CME/20/109879,A,A,A,A,A,A,A,A,A,B,A,A,,23,114,4.96,P,20,81,4.05,43,195,4.53,PASS
71,CME/20/109926,E,E,E,C,B,D,C,E,E,A,B,F,,23,45,1.96,CO,20,68,3.4,43,113,2.63,"GSS126,CHM114,PHY117"
72,CME/20/109931,B,F,B,B,F,B,D,E,B,B,D,B,,23,61,2.65,CO,20,75,3.75,43,136,3.16,"MTH122,PHY122"
73,CME/20/109945,C,C,C,B,C,B,C,D,C,A,B,B,,23,76,3.3,P,20,84,4.2,43,160,3.72,PASS
74,CME/20/109950,A,A,A,A,A,A,B,C,A,A,A,A,,23,110,4.78,P,20,81,4.05,43,191,4.44,PASS
75,CME/20/109974,E,A,B,C,E,A,C,F,C,E,A,B,,23,71,3.09,CO,20,53,2.65,43,124,2.88,"CHM124,PHY117"
76,CME/20/109984,D,A,A,D,F,C,D,F,C,A,F,C,,23,64,2.78,CO,20,30,1.5,43,94,2.19,"PHY122,CHM124,GSS125,MTH112,PHY112,PHY117"
77,CME/20/110008,B,B,E,A,A,A,A,C,B,D,A,A,,23,91,3.96,P,20,66,3.3,43,157,3.65,PASS
78,CME/20/110009,B,B,D,C,C,B,B,B,A,A,C,C,,23,82,3.57,P,20,61,3.05,43,143,3.33,MTH112
79,CME/20/110011,A,A,C,A,B,B,A,B,E,A,B,B,,23,94,4.09,P,20,80,4,43,174,4.05,CHM114
80,CME/20/110029,B,A,D,B,C,A,C,E,C,B,A,B,,23,81,3.52,P,20,68,3.4,43,149,3.47,CHM114
81,CME/20/110058,C,F,C,C,C,E,E,D,B,B,B,C,,23,55,2.39,CO,20,63,3.15,43,118,2.74,MTH122
82,CME/20/110061,C,C,C,B,C,B,A,E,A,A,B,B,,23,85,3.7,P,20,79,3.95,43,164,3.81,PASS
83,CME/20/110062,C,A,D,A,A,B,B,B,A,A,A,B,,23,95,4.13,P,20,78,3.9,43,173,4.02,PASS
84,CME/20/110072,B,B,A,B,C,A,C,D,B,C,B,C,,23,86,3.74,P,20,75,3.75,43,161,3.74,PASS
85,CME/20/110078,E,A,C,B,E,C,D,E,B,A,A,B,,23,72,3.13,P,20,61,3.05,43,133,3.09,CHM114
86,CME/20/110104,B,B,E,A,D,B,A,E,A,A,A,B,,23,85,3.7,P,20,79,3.95,43,164,3.81,PASS
87,CME/20/110140,A,C,C,C,C,B,C,C,B,C,A,B,,23,80,3.48,P,20,69,3.45,43,149,3.47,PASS
88,CME/20/110146,C,C,C,C,C,C,C,D,C,C,C,C,,23,68,2.96,P,20,53,2.65,43,121,2.81,"GSS112,GSS115,PHY117"
89,CME/20/110150,A,B,E,A,B,A,A,B,A,A,A,A,,23,97,4.22,P,20,93,4.65,43,190,4.42,PASS
90,CME/20/110151,A,C,C,B,B,C,B,E,A,A,A,A,,23,90,3.91,P,20,82,4.1,43,172,4,PASS
91,CME/20/110194,B,C,C,C,D,B,D,C,C,B,D,A,,23,71,3.09,P,20,82,4.1,43,153,3.56,PASS
92,CME/20/110245,A,A,B,B,B,A,B,B,A,B,B,B,,23,100,4.35,P,20,69,3.45,43,169,3.93,PASS
93,CME/20/110260,B,C,C,C,B,B,C,D,A,A,C,C,,23,79,3.43,P,20,80,4,43,159,3.7,PASS
94,CME/20/110269,C,A,C,B,C,A,B,E,B,A,B,A,,23,89,3.87,P,20,67,3.35,43,156,3.63,PASS
95,CME/20/110282,C,B,D,C,E,A,C,E,B,D,B,A,,23,71,3.09,P,20,70,3.5,43,141,3.28,"CHM114,PHY117"
96,CME/20/110299,C,B,B,B,C,E,E,F,C,C,B,E,,23,63,2.74,CO,20,56,2.8,43,119,2.77,CHM124
97,CME/20/110307,C,A,E,C,C,D,E,E,C,B,B,B,,23,64,2.78,P,20,64,3.2,43,128,2.98,PHY112
98,CME/20/110329,C,D,D,C,C,A,C,F,C,F,B,C,,23,60,2.61,CO,20,72,3.6,43,132,3.07,"CHM124,GSS124,CHM114,ENG111"
99,CME/20/110357,D,F,C,F,C,D,E,F,B,F,F,B,,23,40,1.74,CO,20,37,1.85,43,77,1.79,"MTH122,PHY121,CHM124,GSS124,GSS125,CHM114,MTH112,PHY112,PHY117"
100,CME/20/110363,C,B,C,B,B,A,C,A,C,A,B,A,,23,87,3.78,P,20,67,3.35,43,154,3.58,"CHM114,GSS112"
101,CME/20/110392,B,A,D,A,B,A,C,A,A,B,A,B,,23,93,4.04,P,20,84,4.2,43,177,4.12,PASS
102,CME/20/110434,C,A,B,C,B,B,C,E,B,A,B,C,,23,84,3.65,P,20,76,3.8,43,160,3.72,GSS115
103,CME/20/110451,D,F,C,D,E,C,E,E,C,B,A,D,,23,45,1.96,CO,20,50,2.5,43,95,2.21,"MTH122,CHM113,PHY117"
104,CME/20/110484,C,A,C,A,A,A,A,A,A,E,B,B,,23,98,4.26,P,20,83,4.15,43,181,4.21,PASS
105,CME/20/110503,B,A,C,C,C,A,A,C,A,C,A,A,,23,95,4.13,P,20,83,4.15,43,178,4.14,PASS
106,CME/20/110504,C,A,D,C,D,A,D,F,A,B,A,C,,23,73,3.17,CO,20,49,2.45,43,122,2.84,"CHM124,CHM113,CHM114"
107,CME/20/110539,C,D,E,C,F,A,E,D,B,F,C,C,,23,48,2.09,CO,20,51,2.55,43,99,2.3,"PHY122,GSS124,CHM114,PHY117"
108,CME/20/110540,C,A,B,C,D,B,B,C,A,C,A,C,,23,86,3.74,P,20,80,4,43,166,3.86,PASS
109,CME/20/110548,B,B,B,B,B,A,B,A,B,B,B,A,,23,96,4.17,P,17,58,3.41,40,154,3.85,CHM113
110,CME/20/110585,B,C,C,A,A,A,B,B,A,C,A,A,,23,95,4.13,P,20,88,4.4,43,183,4.26,PASS
111,CME/20/110591,C,A,A,A,D,A,C,C,A,C,A,B,,23,93,4.04,P,20,72,3.6,43,165,3.84,CHM114
112,CME/20/110611,D,B,E,C,D,D,C,F,C,F,B,E,,23,52,2.26,CO,20,52,2.6,43,104,2.42,"CHM124,GSS124,PHY117"
113,CME/20/110612,B,D,F,D,C,B,C,D,F,A,A,C,,23,55,2.39,CO,20,40,2,43,95,2.21,"MTH123,GSS121,GSS111,GSS116,MTH112"
114,CME/20/110624,B,A,A,A,D,C,C,D,A,B,B,B,,23,92,4,P,20,72,3.6,43,164,3.81,PASS
115,CME/20/110625,C,B,B,E,C,B,E,C,C,A,B,E,,23,65,2.83,P,20,58,2.9,43,123,2.86,CHM114
116,CME/20/110641,A,A,A,B,A,A,A,A,A,A,A,A,,23,113,4.91,P,20,60,3,43,173,4.02,PHY112
117,CME/20/110691,B,E,E,C,E,C,D,E,F,B,B,B,,23,48,2.09,CO,20,48,2.4,43,96,2.23,"GSS121,CHM114,GSS115,MTH112"
118,CME/20/110715,B,C,E,B,D,B,C,F,B,B,A,B,,23,70,3.04,CO,20,54,2.7,43,124,2.88,CHM124
119,CME/20/110740,C,A,B,C,C,A,C,E,C,A,A,C,,23,82,3.57,P,20,77,3.85,43,159,3.7,PHY117
120,CME/20/110745,C,D,D,B,D,C,C,F,A,B,C,A,,23,69,3,CO,20,74,3.7,43,143,3.33,CHM124
121,CME/20/110754,A,A,C,A,A,A,A,A,A,A,B,A,,23,108,4.7,P,19,93,4.89,42,201,4.79,GSS114
122,CME/20/110775,B,B,B,C,D,C,C,E,A,E,A,B,,23,79,3.43,P,20,83,4.15,43,162,3.77,PASS
123,CME/20/110799,C,E,C,B,C,B,B,C,A,C,C,B,,23,75,3.26,P,20,73,3.65,43,148,3.44,PASS
124,CME/20/110802,B,B,D,C,D,B,B,D,A,A,B,B,,23,81,3.52,P,20,88,4.4,43,169,3.93,PASS
125,CME/20/110804,A,A,A,B,C,B,A,C,A,B,B,B,,23,102,4.43,P,20,80,4,43,182,4.23,PASS
126,CME/20/110820,C,A,E,B,C,A,A,C,A,A,A,A,,23,91,3.96,P,20,87,4.35,43,178,4.14,PASS
